User's manual r01uh0980ej0120-rl78g16; Version 1.00; March 13, 2024
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
NFEN1,6.3.14 Noise filter enable registers 1 (NFEN1),Figure6-23.FormatofNoiseFilterEnableRegisters1(NFEN1)(1/2),,,
ISC,6.3.13 Input switch control register (ISC),Figure6-22.FormatofInputSwitchControlRegister(ISC),,TIMER ARRAY UNIT,
ISC,13.3.14 Input switch control register (ISC),Figure13-19.FormatofInputSwitchControlRegister(ISC),,SERIAL ARRAY UNIT,
TIS0,6.3.8 Timer input select register 0 (TIS0),Figure6-17.FormatofTimerInputSelectRegister0(TIS0),,TIMER ARRAY UNIT,
TIS0,20.3.6 Frequency detection,Figure20-10.FormatofTimerInputSelectRegister0(TIS0),,SAFETY FUNCTIONS,
PIOR2,4.3.6 Peripheral I/O redirection registers 0 to 6 (PIOR0 to PIOR6),Figure4-6.FormatofPeripheralI/ORedirectionRegisters0to6(PIOR0toPIOR6),,,
PIOR6,4.3.6 Peripheral I/O redirection registers 0 to 6 (PIOR0 to PIOR6),Figure4-6.FormatofPeripheralI/ORedirectionRegisters0to6(PIOR0toPIOR6),,,
PIOR0,4.3.6 Peripheral I/O redirection registers 0 to 6 (PIOR0 to PIOR6),Figure4-6.FormatofPeripheralI/ORedirectionRegisters0to6(PIOR0toPIOR6),,,
IAWCTL,20.3.3 RAM guard function,Figure20-6.FormatofInvalidMemoryAccessDetectionControlRegister(IAWCTL),,RAM guard function,
IAWCTL,20.3.4 SFR guard function,Figure20-7.FormatofInvalidMemoryAccessDetectionControlRegister(IAWCTL),,SFR guard function,
PIOR1,4.3.6 Peripheral I/O redirection registers 0 to 6 (PIOR0 to PIOR6),Figure4-6.FormatofPeripheralI/ORedirectionRegisters0to6(PIOR0toPIOR6),,,
PER1,"5.3.6 Peripheral enable register 0, 1 (PER0, PER1)",Figure5-8.FormatofPeripheralEnableRegister1(PER1),,CLOCK GENERATOR,
CTSUEN,"5.3.6 Peripheral enable register 0, 1 (PER0, PER1)",Figure5-8.FormatofPeripheralEnableRegister1(PER1),2,CLOCK GENERATOR,
RTCWEN,"5.3.6 Peripheral enable register 0, 1 (PER0, PER1)",Figure5-8.FormatofPeripheralEnableRegister1(PER1),2,CLOCK GENERATOR,
PER1,7.3.1 Peripheral enable register 1 (PER1),Figure7-2.FormatofPeripheralEnableRegister1(PER1),,REAL-TIME CLOCK 2,
RTCWEN,7.3.1 Peripheral enable register 1 (PER1),Figure7-2.FormatofPeripheralEnableRegister1(PER1),2,REAL-TIME CLOCK 2,
PER1,15.3.1 Peripheral enable register 1 (PER1),Figure15-4.FormatofPeripheralEnableRegister1(PER1),,CAPACITIVE TOUCH SENSING UNIT (CTSUb),
CTSUEN,15.3.1 Peripheral enable register 1 (PER1),Figure15-4.FormatofPeripheralEnableRegister1(PER1),2,CAPACITIVE TOUCH SENSING UNIT (CTSUb),
PIOR4,4.3.6 Peripheral I/O redirection registers 0 to 6 (PIOR0 to PIOR6),Figure4-6.FormatofPeripheralI/ORedirectionRegisters0to6(PIOR0toPIOR6),,,
PIOR3,4.3.6 Peripheral I/O redirection registers 0 to 6 (PIOR0 to PIOR6),Figure4-6.FormatofPeripheralI/ORedirectionRegisters0to6(PIOR0toPIOR6),,,
PIOR5,4.3.6 Peripheral I/O redirection registers 0 to 6 (PIOR0 to PIOR6),Figure4-6.FormatofPeripheralI/ORedirectionRegisters0to6(PIOR0toPIOR6),,,
HIOTRM,5.3.9 High-speed on-chip oscillator trimming register (HIOTRM),Figure5-11.FormatofHigh-SpeedOn-ChipOscillatorTrimmingRegister(HIOTRM),,,
HOCODIV,5.3.8 High-speed on-chip oscillator frequency select register (HOCODIV),Figure5-10.FormatofHigh-speedOn-chipOscillatorFrequencySelectRegister(HOCODIV),,,
FSSET,22.6.1.5 Flash memory sequencer initial setting register (FSSET),Figure22-12.FormatofFlashMemorySequencerInitialSettingRegister(FSSET),,,
FLPMC,22.6.1.4 Flash programming mode control register (FLPMC),Figure22-11.FormatofFlashProgrammingModeControlRegister(FLPMC),,,
FSSQ,22.6.1.6 Flash memory sequencer control register (FSSQ),Figure22-13.FormatofFlashMemorySequencerControlRegister(FSSQ),,,
FLAPL,"22.6.1.1 Flash address pointer registers H and L (FLAPH, FLAPL)","Figure22-8.FormatofFlashAddressPointerRegistersHandL(FLAPH,FLAPL)",,,
FLAPH,"22.6.1.1 Flash address pointer registers H and L (FLAPH, FLAPL)","Figure22-8.FormatofFlashAddressPointerRegistersHandL(FLAPH,FLAPL)",,,
FLSEDL,"22.6.1.2 Flash end address specification registers H and L (FLSEDH, FLSEDL)","Figure22-9.FormatofFlashEndAddressSpecificationRegistersHandL(FLSEDH,FLSEDL)",,,
FLSEDH,"22.6.1.2 Flash end address specification registers H and L (FLSEDH, FLSEDL)","Figure22-9.FormatofFlashEndAddressSpecificationRegistersHandL(FLSEDH,FLSEDL)",,,
FSASTL,"22.6.1.7 Flash memory sequencer status registers H and L (FSASTH, FSASTL)","Figure22-14.FormatofFlashMemorySequencerStatusRegistersHandL(FSASTH,FSASTL)",,,
FSASTH,"22.6.1.7 Flash memory sequencer status registers H and L (FSASTH, FSASTL)","Figure22-14.FormatofFlashMemorySequencerStatusRegistersHandL(FSASTH,FSASTL)",,,
FLWLL,"22.6.1.3 Flash write buffer registers HH, HL, LH, and LL (FLWHH, FLWHL, FLWLH, FLWLL)","Figure22-10.FormatofFlashWriteBufferRegistersHH,HL,LH,andLL(FLWHH,FLWHL,FLWLH,FLWLL)",,,
FLWLH,"22.6.1.3 Flash write buffer registers HH, HL, LH, and LL (FLWHH, FLWHL, FLWLH, FLWLL)","Figure22-10.FormatofFlashWriteBufferRegistersHH,HL,LH,andLL(FLWHH,FLWHL,FLWLH,FLWLL)",,,
FLWHL,"22.6.1.3 Flash write buffer registers HH, HL, LH, and LL (FLWHH, FLWHL, FLWLH, FLWLL)","Figure22-10.FormatofFlashWriteBufferRegistersHH,HL,LH,andLL(FLWHH,FLWHL,FLWLH,FLWLL)",,,
FLWHH,"22.6.1.3 Flash write buffer registers HH, HL, LH, and LL (FLWHH, FLWHL, FLWLH, FLWLL)","Figure22-10.FormatofFlashWriteBufferRegistersHH,HL,LH,andLL(FLWHH,FLWHL,FLWLH,FLWLL)",,,
PER0,"5.3.6 Peripheral enable register 0, 1 (PER0, PER1)",Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),,CLOCK GENERATOR,
TAU0EN,"5.3.6 Peripheral enable register 0, 1 (PER0, PER1)",Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),3,CLOCK GENERATOR,
SAU0EN,"5.3.6 Peripheral enable register 0, 1 (PER0, PER1)",Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),3,CLOCK GENERATOR,
SAU1EN,"5.3.6 Peripheral enable register 0, 1 (PER0, PER1)",Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),3,CLOCK GENERATOR,
IICA0EN,"5.3.6 Peripheral enable register 0, 1 (PER0, PER1)",Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),3,CLOCK GENERATOR,
ADCEN,"5.3.6 Peripheral enable register 0, 1 (PER0, PER1)",Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),3,CLOCK GENERATOR,
CMPEN,"5.3.6 Peripheral enable register 0, 1 (PER0, PER1)",Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),2,CLOCK GENERATOR,
TMKAEN,"5.3.6 Peripheral enable register 0, 1 (PER0, PER1)",Figure5-7.FormatofPeripheralEnableRegister0(PER0)(1/2),2,CLOCK GENERATOR,
PER0,6.3.1 Peripheral enable register 0 (PER0),Figure6-10.FormatofPeripheralEnableRegister0(PER0),,TIMER ARRAY UNIT,
TAU0EN,6.3.1 Peripheral enable register 0 (PER0),Figure6-10.FormatofPeripheralEnableRegister0(PER0),2,TIMER ARRAY UNIT,
PER0,8.3.1 Peripheral enable register 0 (PER0),Figure8-2.FormatofPeripheralEnableRegister0(PER0),,12-BIT INTERVAL TIMER,
TMKAEN,8.3.1 Peripheral enable register 0 (PER0),Figure8-2.FormatofPeripheralEnableRegister0(PER0),2,12-BIT INTERVAL TIMER,
PER0,11.3.1 Peripheral enable register 0 (PER0),Figure11-2.FormatofPeripheralEnableRegister0(PER0),,A/D CONVERTER,
ADCEN,11.3.1 Peripheral enable register 0 (PER0),Figure11-2.FormatofPeripheralEnableRegister0(PER0),2,A/D CONVERTER,
PER0,12.3.1 Peripheral Enable Register 0 (PER0),Figure12-2.FormatofPeripheralEnableRegister0(PER0),,COMPARATOR,
CMPEN,12.3.1 Peripheral Enable Register 0 (PER0),Figure12-2.FormatofPeripheralEnableRegister0(PER0),2,COMPARATOR,
PER0,13.3.1 Peripheral enable register 0 (PER0),Figure13-5.FormatofPeripheralEnableRegister0(PER0),,SERIAL ARRAY UNIT,
SAU0EN,13.3.1 Peripheral enable register 0 (PER0),Figure13-5.FormatofPeripheralEnableRegister0(PER0),1,SERIAL ARRAY UNIT,SAUmEN
SAU1EN,13.3.1 Peripheral enable register 0 (PER0),Figure13-5.FormatofPeripheralEnableRegister0(PER0),1,SERIAL ARRAY UNIT,SAUmEN
PER0,14.3.1 Peripheral enable register 0 (PER0),Figure14-5.FormatofPeripheralEnableRegister0(PER0),,SERIAL INTERFACE IICA,
IICA0EN,14.3.1 Peripheral enable register 0 (PER0),Figure14-5.FormatofPeripheralEnableRegister0(PER0),2,SERIAL INTERFACE IICA,
OSMC,5.3.7 Operation speed mode control register (OSMC),Figure5-9.FormatofOperationSpeedModeControlRegister(OSMC),,CLOCK GENERATOR,
OSMC,7.3.2 Subsystem clock supply mode control register (OSMC),Figure7-3.FormatofSubsystemClockSupplyModeControlRegister(OSMC),,REAL-TIME CLOCK 2,
OSMC,8.3.2 Operation speed mode control register (OSMC),Figure8-3.FormatofOperationSpeedModeControlRegister(OSMC),,12-BIT INTERVAL TIMER,
RPECTL,20.3.2 RAM parity error detection,Figure20-4.FormatofRAMParityErrorControlRegister(RPECTL),,,
RPEF,20.3.2 RAM parity error detection,Figure20-4.FormatofRAMParityErrorControlRegister(RPECTL),2,,
RPERDIS,20.3.2 RAM parity error detection,Figure20-4.FormatofRAMParityErrorControlRegister(RPECTL),2,,
PORSR,7.3.3 Internal reset status register by data retention power supply voltage (PORSR),Figure7-4.FormatofInternalResetStatusRegisterbyDataRetentionPowerSupplyVoltage(PORSR),,REAL-TIME CLOCK 2,
PORSR,18.3.2 Internal Reset Status Register by Data Retention Power Supply Voltage (PORSR),Figure18-5.FormatofInternalResetStatusRegisterbyDataRetentionPowerSupplyVoltage(PORSR),,RESET FUNCTION,
BCDADJ,24.2.1 BCD correction result register (BCDADJ),Figure24-1.FormatofBCDCorrectionResultRegister(BCDADJ),,,
SSR00,13.3.7 Serial status register mn (SSRmn),Figure13-11.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR00L,13.3.7 Serial status register mn (SSRmn),Figure13-11.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR01,13.3.7 Serial status register mn (SSRmn),Figure13-11.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR01L,13.3.7 Serial status register mn (SSRmn),Figure13-11.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR02,13.3.7 Serial status register mn (SSRmn),Figure13-11.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR02L,13.3.7 Serial status register mn (SSRmn),Figure13-11.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR03,13.3.7 Serial status register mn (SSRmn),Figure13-11.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR03L,13.3.7 Serial status register mn (SSRmn),Figure13-11.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SIR00,13.3.6 Serial flag clear trigger register mn (SIRmn),Figure13-10.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR00L,13.3.6 Serial flag clear trigger register mn (SIRmn),Figure13-10.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR01,13.3.6 Serial flag clear trigger register mn (SIRmn),Figure13-10.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR01L,13.3.6 Serial flag clear trigger register mn (SIRmn),Figure13-10.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR02,13.3.6 Serial flag clear trigger register mn (SIRmn),Figure13-10.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR02L,13.3.6 Serial flag clear trigger register mn (SIRmn),Figure13-10.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR03,13.3.6 Serial flag clear trigger register mn (SIRmn),Figure13-10.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR03L,13.3.6 Serial flag clear trigger register mn (SIRmn),Figure13-10.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SMR00,13.3.3 Serial mode register mn (SMRmn),Figure13-7.FormatofSerialModeRegistermn(SMRmn)(1/2),,,
SMR01,13.3.3 Serial mode register mn (SMRmn),Figure13-7.FormatofSerialModeRegistermn(SMRmn)(1/2),,,
SMR02,13.3.3 Serial mode register mn (SMRmn),Figure13-7.FormatofSerialModeRegistermn(SMRmn)(1/2),,,
SMR03,13.3.3 Serial mode register mn (SMRmn),Figure13-7.FormatofSerialModeRegistermn(SMRmn)(1/2),,,
SCR00,13.3.4 Serial communication operation setting register mn (SCRmn),Figure13-8.FormatofSerialCommunicationOperationSettingRegistermn(SCRmn)(1/2),,,
SCR01,13.3.4 Serial communication operation setting register mn (SCRmn),Figure13-8.FormatofSerialCommunicationOperationSettingRegistermn(SCRmn)(1/2),,,
SCR02,13.3.4 Serial communication operation setting register mn (SCRmn),Figure13-8.FormatofSerialCommunicationOperationSettingRegistermn(SCRmn)(1/2),,,
SCR03,13.3.4 Serial communication operation setting register mn (SCRmn),Figure13-8.FormatofSerialCommunicationOperationSettingRegistermn(SCRmn)(1/2),,,
SE0,13.3.10 Serial channel enable status register m (SEm),Figure13-14.FormatofSerialChannelEnableStatusRegisterm(SEm),,,
SE0L,13.3.10 Serial channel enable status register m (SEm),Figure13-14.FormatofSerialChannelEnableStatusRegisterm(SEm),,,
SS0,13.3.8 Serial channel start register m (SSm),Figure13-12.FormatofSerialChannelStartRegisterm(SSm),,,
SS0L,13.3.8 Serial channel start register m (SSm),Figure13-12.FormatofSerialChannelStartRegisterm(SSm),,,
ST0,13.3.9 Serial channel stop register m (STm),Figure13-13.FormatofSerialChannelStopRegisterm(STm),,,
ST0L,13.3.9 Serial channel stop register m (STm),Figure13-13.FormatofSerialChannelStopRegisterm(STm),,,
SPS0,13.3.2 Serial clock select register m (SPSm),Figure13-6.FormatofSerialClockSelectRegisterm(SPSm),,,
SPS0L,13.3.2 Serial clock select register m (SPSm),Figure13-6.FormatofSerialClockSelectRegisterm(SPSm),,,
SO0,13.3.12 Serial output register m (SOm),Figure13-16.FormatofSerialOutputRegisterm(SOm),,,
SOE0,13.3.11 Serial output enable register m (SOEm),Figure13-15.FormatofSerialOutputEnableRegisterm(SOEm),,,
SOE0L,13.3.11 Serial output enable register m (SOEm),Figure13-15.FormatofSerialOutputEnableRegisterm(SOEm),,,
SOL0,13.3.13 Serial output level register m (SOLm),Figure13-17.FormatofSerialOutputLevelRegisterm(SOLm),,,
SOL0L,13.3.13 Serial output level register m (SOLm),Figure13-17.FormatofSerialOutputLevelRegisterm(SOLm),,,
SSR10,13.3.7 Serial status register mn (SSRmn),Figure13-11.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR10L,13.3.7 Serial status register mn (SSRmn),Figure13-11.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR11,13.3.7 Serial status register mn (SSRmn),Figure13-11.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SSR11L,13.3.7 Serial status register mn (SSRmn),Figure13-11.FormatofSerialStatusRegistermn(SSRmn)(1/2),,,
SIR10,13.3.6 Serial flag clear trigger register mn (SIRmn),Figure13-10.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR10L,13.3.6 Serial flag clear trigger register mn (SIRmn),Figure13-10.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR11,13.3.6 Serial flag clear trigger register mn (SIRmn),Figure13-10.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SIR11L,13.3.6 Serial flag clear trigger register mn (SIRmn),Figure13-10.FormatofSerialFlagClearTriggerRegistermn(SIRmn),,,
SMR10,13.3.3 Serial mode register mn (SMRmn),Figure13-7.FormatofSerialModeRegistermn(SMRmn)(1/2),,,
SMR11,13.3.3 Serial mode register mn (SMRmn),Figure13-7.FormatofSerialModeRegistermn(SMRmn)(1/2),,,
SCR10,13.3.4 Serial communication operation setting register mn (SCRmn),Figure13-8.FormatofSerialCommunicationOperationSettingRegistermn(SCRmn)(1/2),,,
SCR11,13.3.4 Serial communication operation setting register mn (SCRmn),Figure13-8.FormatofSerialCommunicationOperationSettingRegistermn(SCRmn)(1/2),,,
SE1,13.3.10 Serial channel enable status register m (SEm),Figure13-14.FormatofSerialChannelEnableStatusRegisterm(SEm),,,
SE1L,13.3.10 Serial channel enable status register m (SEm),Figure13-14.FormatofSerialChannelEnableStatusRegisterm(SEm),,,
SS1,13.3.8 Serial channel start register m (SSm),Figure13-12.FormatofSerialChannelStartRegisterm(SSm),,,
SS1L,13.3.8 Serial channel start register m (SSm),Figure13-12.FormatofSerialChannelStartRegisterm(SSm),,,
ST1,13.3.9 Serial channel stop register m (STm),Figure13-13.FormatofSerialChannelStopRegisterm(STm),,,
ST1L,13.3.9 Serial channel stop register m (STm),Figure13-13.FormatofSerialChannelStopRegisterm(STm),,,
SPS1,13.3.2 Serial clock select register m (SPSm),Figure13-6.FormatofSerialClockSelectRegisterm(SPSm),,,
SPS1L,13.3.2 Serial clock select register m (SPSm),Figure13-6.FormatofSerialClockSelectRegisterm(SPSm),,,
SO1,13.3.12 Serial output register m (SOm),Figure13-16.FormatofSerialOutputRegisterm(SOm),,,
SOE1,13.3.11 Serial output enable register m (SOEm),Figure13-15.FormatofSerialOutputEnableRegisterm(SOEm),,,
SOE1L,13.3.11 Serial output enable register m (SOEm),Figure13-15.FormatofSerialOutputEnableRegisterm(SOEm),,,
SOL1,13.3.13 Serial output level register m (SOLm),Figure13-17.FormatofSerialOutputLevelRegisterm(SOLm),,,
SOL1L,13.3.13 Serial output level register m (SOLm),Figure13-17.FormatofSerialOutputLevelRegisterm(SOLm),,,
TCR00,6.2.1 Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR01,6.2.1 Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR02,6.2.1 Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR03,6.2.1 Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR04,6.2.1 Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR05,6.2.1 Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR06,6.2.1 Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TCR07,6.2.1 Timer count register mn (TCRmn),Figure6-7.FormatofTimerCountRegistermn(TCRmn),,,
TMR00,6.3.3 Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/5),,,
TMR01,6.3.3 Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/5),,,
TMR02,6.3.3 Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/5),,,
TMR03,6.3.3 Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/5),,,
TMR04,6.3.3 Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/5),,,
TMR05,6.3.3 Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/5),,,
TMR06,6.3.3 Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/5),,,
TMR07,6.3.3 Timer mode register mn (TMRmn),Figure6-12.FormatofTimerModeRegistermn(TMRmn)(1/5),,,
TSR00,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR00L,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR01,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR01L,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR02,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR02L,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR03,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR03L,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR04,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR04L,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR05,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR05L,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR06,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR06L,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR07,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TSR07L,6.3.4 Timer status register mn (TSRmn),Figure6-13.FormatofTimerStatusRegistermn(TSRmn),,,
TE0,6.3.5 Timer channel enable status register m (TEm),Figure6-14.FormatofTimerChannelEnableStatusregisterm(TEm),,,
TE0L,6.3.5 Timer channel enable status register m (TEm),Figure6-14.FormatofTimerChannelEnableStatusregisterm(TEm),,,
TS0,6.3.6 Timer channel start register m (TSm),Figure6-15.FormatofTimerChannelStartregisterm(TSm),,,
TS0L,6.3.6 Timer channel start register m (TSm),Figure6-15.FormatofTimerChannelStartregisterm(TSm),,,
TT0,6.3.7 Timer channel stop register m (TTm),Figure6-16.FormatofTimerChannelStopregisterm(TTm),,,
TT0L,6.3.7 Timer channel stop register m (TTm),Figure6-16.FormatofTimerChannelStopregisterm(TTm),,,
TPS0,6.3.2 Timer clock select register m (TPSm),Figure 6-11. Format of Timer Clock Select register m (TPSm) (1/2),,,
TO0,6.3.10 Timer output register m (TOm),Figure6-19.FormatofTimerOutputregisterm(TOm),,,
TO0L,6.3.10 Timer output register m (TOm),Figure6-19.FormatofTimerOutputregisterm(TOm),,,
TOE0,6.3.9 Timer output enable register m (TOEm),Figure6-18.FormatofTimerOutputEnableregisterm(TOEm),,,
TOE0L,6.3.9 Timer output enable register m (TOEm),Figure6-18.FormatofTimerOutputEnableregisterm(TOEm),,,
TOL0,6.3.11 Timer output level register m (TOLm),Figure6-20.FormatofTimerOutputLevelregisterm(TOLm),,,
TOL0L,6.3.11 Timer output level register m (TOLm),Figure6-20.FormatofTimerOutputLevelregisterm(TOLm),,,
TOM0,6.3.12 Timer output mode register m (TOMm),Figure6-21.FormatofTimerOutputModeregisterm(TOMm),,,
TOM0L,6.3.12 Timer output mode register m (TOMm),Figure6-21.FormatofTimerOutputModeregisterm(TOMm),,,
IICCTL00,14.3.2 IICA control register 00 (IICCTL00),Figure14-6.FormatofIICAControlRegister00(IICCTL00)(1/4),,,
SPT0,14.3.2 IICA control register 00 (IICCTL00),Figure14-6.FormatofIICAControlRegister00(IICCTL00)(1/4),4,,
STT0,14.3.2 IICA control register 00 (IICCTL00),Figure14-6.FormatofIICAControlRegister00(IICCTL00)(3/4),1,,
ACKE0,14.3.2 IICA control register 00 (IICCTL00),Figure14-6.FormatofIICAControlRegister00(IICCTL00)(1/4),2,,
WTIM0,14.3.2 IICA control register 00 (IICCTL00),Figure14-6.FormatofIICAControlRegister00(IICCTL00)(1/4),2,,
